,genre,occurances
953,brazilian indie,10
954,mariachi cristiano,10
955,jazz rock,10
956,folktronica,10
957,olympia wa indie,10
958,samba-jazz,10
959,new comedy,10
960,brass band,10
961,west coast reggae,10
962,women's music,10
963,shibuya-kei,10
964,melodic dubstep,10
965,turkish jazz,10
966,chutney,10
967,boston hip hop,10
968,yodeling,10
969,christian punk,10
970,idol,10
971,flamenco guitar,10
972,jazz vibraphone,10
973,norwegian jazz,10
974,channel pop,10
975,slayer,10
976,post-disco soul,10
977,carnatic,10
978,bboy,10
979,atmosphere,10
980,vintage french electronic,10
981,vintage country folk,10
982,retro soul,10
983,techno,10
984,riddim,10
985,lds,10
986,classical clarinet,10
987,panamanian pop,10
988,french synthpop,10
989,nouvelle chanson francaise,10
990,comedy rap,10
991,irish singer-songwriter,10
992,vapor pop,10
993,drift,10
994,clean comedy,10
995,livetronica,10
996,classic schlager,10
997,celtic punk,10
998,cello,10
999,mandolin,10
1000,electropowerpop,10
1001,mande pop,10
1002,classic japanese jazz,10
1003,gypsy jazz,10
1004,anglican liturgy,10
1005,electronic rock,10
1006,cumbia salvadorena,10
1007,horror punk,10
1008,electroclash,10
1009,swedish indie pop,10
1010,ecuadorian pop,10
1011,galante era,10
1012,lo-fi emo,10
1013,neue deutsche welle,9
1014,neo-singer-songwriter,9
1015,j-pixie,9
1016,irish rock,9
1017,native american flute,9
1018,portland indie,9
1019,navajo,9
1020,jazz brass,9
1021,palm desert scene,9
1022,psicodelia brasileira,9
1023,german baroque,9
1024,polish classical piano,9
1025,progressive uplifting trance,9
1026,k-indie,9
1027,progressive trance house,9
1028,parody,9
1029,krautrock,9
1030,nigerian pop,9
1031,j-metal,9
1032,zydeco,9
1033,dark cabaret,9
1034,dark clubbing,9
1035,christian trap,9
1036,crust punk,9
1037,toronto rap,9
1038,chilean rock,9
1039,brazilian soul,9
1040,baroque violin,9
1041,cubaton,9
1042,brit funk,9
1043,tape club,9
1044,ambient folk,9
1045,russian modern classical,9
1046,reading,9
1047,spiritual jazz,9
1048,shiver pop,9
1049,brooklyn drill,9
1050,salsa venezolana,9
1051,euphoric hardstyle,9
1052,chamber choir,9
1053,seattle hip hop,9
1054,swing italiano,9
1055,drill and bass,9
1056,vaporwave,9
1057,austrian orchestra,9
1058,rock cristiano,9
1059,american romanticism,9
1060,canadian contemporary country,9
1061,electra,9
1062,romantico,9
1063,axe,9
1064,australian electropop,9
1065,us power metal,9
1066,detroit trap,9
1067,ska mexicano,8
1068,cyberpunk,8
1069,jazz cubano,8
1070,japanese vgm,8
1071,portland hip hop,8
1072,turkish folk,8
1073,neo-progressive,8
1074,cumbia colombiana regia,8
1075,minimal wave,8
1076,happy hardcore,8
1077,nederpop,8
1078,jazz boom bap,8
1079,deep talent show,8
1080,guitarra clasica,8
1081,pops orchestra,8
1082,deathrock,8
1083,pop house,8
1084,dc hardcore,8
1085,kundiman,8
1086,vallenato moderno,8
1087,australian hip hop,8
1088,german literature,8
1089,gothic metal,8
1090,victorian britain,8
1091,german dance,8
1092,musica jibara,8
1093,greek clarinet,8
1094,gregorian chant,8
1095,uk reggae,8
1096,bass music,8
1097,austin americana,8
1098,jug band,8
1099,sacramento hip hop,8
1100,nashville singer-songwriter,8
1101,hindustani instrumental,8
1102,russian rock,8
1103,garage house,8
1104,liquid funk,8
1105,japanese singer-songwriter,8
1106,deep contemporary country,8
1107,steel guitar,8
1108,early music ensemble,8
1109,icelandic pop,8
1110,psychedelic doom,8
1111,ambeat,8
1112,electric bass,8
1113,experimental hip hop,8
1114,afro dancehall,8
1115,alternative americana,8
1116,technical death metal,8
1117,proto-techno,8
1118,west end,8
1119,string folk,8
1120,string band,8
1121,cambridge choir,8
1122,tech house,8
1123,melbourne bounce international,8
1124,canadian ccm,8
1125,israeli singer-songwriter,8
1126,israeli pop,8
1127,surf punk,8
1128,wu fam,8
1129,new mexico music,8
1130,soul flow,8
1131,flamenco,8
1132,classic turkish pop,8
1133,swedish death metal,8
1134,american post-rock,8
1135,canadian electropop,8
1136,new jersey hardcore,8
1137,swedish alternative rock,8
1138,family gospel,8
1139,classic greek pop,8
1140,british dance band,8
1141,nursery,7
1142,seattle indie,7
1143,swamp blues,7
1144,polish classical,7
1145,scream rap,7
1146,irish country,7
1147,north carolina roots,7
1148,instrumental post-rock,7
1149,swedish power metal,7
1150,azontobeats,7
1151,children's choir,7
1152,australian reggae fusion,7
1153,sertanejo tradicional,7
1154,canadian celtic,7
1155,classical horn,7
1156,oxford indie,7
1157,black comedy,7
1158,outsider house,7
1159,harpsichord,7
1160,classic russian rock,7
1161,new england americana,7
1162,belly dance,7
1163,cuban rumba,7
1164,hard minimal techno,7
1165,british experimental,7
1166,british indie rock,7
1167,belgian edm,7
1168,british industrial,7
1169,peruvian rock,7
1170,uk dnb,7
